StateAbr	LibID	LibName	Address	City	Zip	Zip4	County	Phone	WebAddr	RelCode	LegBasis	PopLSA	CentralLib	BranchLib	BookMob	Master	Librarians	OtherPaid	TotStaff	LocGvt	StGvt	FedGvt	OtherInc	TotInc	PrintExp	ElecExp	OthMaterial	TotCollExp	TotalExp	BookVol	Ebook	Audio	Video	HrsOpen	Visits	RefTran	RegBor	TotCirc	KidCirc	TotProg	KidProg	TotAtten	KidAtten	GPTerms	PITUsr	Long	Lat	CountyPop	LocaleCode	CongDist
AK	AK0001	ANCHOR POINT PUBLIC LIBRARY                                 	72551 MILO FRITZ AVENUE            	ANCHOR POINT        	99556	129	KENAI PENINSULA     	9072355692	appubliclibrary.com/                                                            	NP	CI1	1829	1	0	0	0	0.75	0	0.75	2860	6350	0	7789	16999	3150	799	374	4323	14084	11765	0	184	2686	1404	7357	1404	1000	14430	1336	44	44	374	374	4	2347	-151.853479	59.78047	53409	43	0
AK	AK0002	ANCHORAGE PUBLIC LIBRARY                                    	3600 DENALI STREET                 	ANCHORAGE           	99503	6055	ANCHORAGE           	9073432975	www.anchoragelibrary.org/                                                       	CO	MA1	284994	1	4	0	24.8	33.6	52.4	86	10451914	291930	144888	524053	11412785	793427	138916	47231	979574	11217963	664162	5270	36334	42681	12765	840113	180877	153520	1532662	445026	818	768	40170	29142	79	300674	-149.876714	61.18792	279243	11	0
AK	AK0003	ANDERSON VILLAGE LIBRARY                                    	101 FIRST STREET                   	ANDERSON            	99744	3078	DENALI              	9075822628	-3	CI	CI1	295	1	0	0	0	0.25	0.15	0.4	6500	6350	789	2754	16393	2713	0	831	3544	16108	16615	0	191	1250	500	2028	288	140	2107	707	60	55	384	358	7	512	-149.178545	64.34357	1848	43	0
AK	AK0006	KUSKOKWIM CONSORTIUM LIBRARY                                	420 STATE HIGHWAY                  	BETHEL              	99559	368	BETHEL              	9075434516	M                                                                               	MJ	CI1	5665	1	0	0	1	1	2.5	3.5	67600	6350	33000	172008	278958	9772	1825	0	11597	262980	39822	0	2470	1772	2458	17000	375	2302	11783	2146	178	177	2945	2924	5	8850	-161.760222	60.77014	17236	41	0
AK	AK0007	BIG LAKE PUBLIC LIBRARY                                     	3140 SOUTH BIG LAKE ROAD           	BIG LAKE            	99652	829	MATANUSKA-SUSITNA   	9078926475	www.matsulibraries.org/biglake/                                                 	CO	CO1	9679	1	0	0	0	1	2.75	3.75	253992	6350	1000	2730	264072	26395	0	0	26395	260342	21222	0	1491	1638	2568	32712	2940	2923	39831	22069	236	156	5059	4491	7	10930	-149.819317	61.55251	85458	42	0
AK	AK0008	CANTWELL COMMUNITY LIBRARY                                  	1 SCHOOL ROAD                      	CANTWELL            	99729	68	DENALI              	9077682372	-3	NP	CI1	192	1	0	0	0	0.38	0.38	0.76	4409	6350	6000	1581	18340	5619	570	600	6789	17470	12367	0	371	520	720	1930	300	165	3880	2095	23	22	97	79	4	750	-148.677951	63.44362	1848	43	0
AK	AK0011	CHINIAK PUBLIC LIBRARY                                      	43318 SPRUCE WAY                   	CHINIAK             	99615	5610	KODIAK ISLAND       	9074863022	-3	NP	CI1	44	1	0	0	0	0	0	0	3000	6350	0	0	9350	3994	0	1059	5053	9964	2828	0	320	843	531	545	55	42	388	101	20	9	137	34	1	204	-152.491432	57.74737	13049	33	0
AK	AK0014	COLD BAY PUBLIC LIBRARY                                     	10 BARANOV STREET                  	COLD BAY            	99571	87	ALEUTIANS EAST      	9075322878	coldbayak.org/library.php/                                                      	NP	CI1	90	1	0	0	0	0	0	0	2000	6350	0	465	8815	1666	0	2037	3703	8729	7135	0	502	3004	500	1550	250	243	1714	597	38	38	330	330	3	340	-161.128461	55.7397	2810	43	0
AK	AK0015	COOPER LANDING COMMUNITY LIBRARY                            	MILE .8 BEAN CREEK ROAD            	COOPER LANDING      	99572	517	KENAI PENINSULA     	9075951241	www.arctic.net/~alibrary/                                                       	NP	CI1	357	1	0	0	0	0	0	0	0	6350	0	11406	17756	4725	0	870	5595	12417	3683	0	513	849	748	3484	72	511	2937	603	49	40	540	400	3	1005	-150.134689	60.49075	53409	43	0
AK	AK0016	CORDOVA PUBLIC LIBRARY                                      	622 FIRST STREET                   	CORDOVA             	99574	1210	VALDEZ-CORDOVA      	9074246667	www.cordovalibrary.org/                                                         	CI	CI1	2161	1	0	0	0	3.8	2.4	6.2	350298	6350	1000	0	357648	12500	900	1600	15000	348298	21927	0	619	1405	2288	25607	738	2553	15591	5229	134	130	2384	2257	5	8384	-145.766016	60.54801	9362	43	0
