StateAbr,LibID,title,Address,City,Zip,Zip4,County,Phone,BookVol,Visits,Long,Lat
AK,AK0001,ANCHOR POINT PUBLIC LIBRARY,72551 MILO FRITZ AVENUE,ANCHOR POINT,99556,129,KENAI PENINSULA,9072355692,11765,7357,-151.853479,59.78047
AK,AK0002,ANCHORAGE PUBLIC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,6055,ANCHORAGE,9073432975,664162,840113,-149.876714,61.18792
AK,AK0003,ANDERSON VILLAGE LIBRARY,101 FIRST STREET,ANDERSON,99744,3078,DENALI,9075822628,16615,2028,-149.178545,64.34357
AK,AK0006,KUSKOKWIM CONSORTIUM LIBRARY,420 STATE HIGHWAY,BETHEL,99559,368,BETHEL,9075434516,39822,17000,-161.760222,60.77014
AK,AK0007,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,829,MATANUSKA-SUSITNA,9078926475,21222,32712,-149.819317,61.55251
AK,AK0008,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,68,DENALI,9077682372,12367,1930,-148.677951,63.44362
AK,AK0011,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,5610,KODIAK ISLAND,9074863022,2828,545,-152.491432,57.74737
AK,AK0014,COLD BAY PUBLIC LIBRARY,10 BARANOV STREET,COLD BAY,99571,87,ALEUTIANS EAST,9075322878,7135,1550,-161.128461,55.7397
AK,AK0015,COOPER LANDING COMMUNITY LIBRARY,MILE .8 BEAN CREEK ROAD,COOPER LANDING,99572,517,KENAI PENINSULA,9075951241,3683,3484,-150.134689,60.49075
AK,AK0016,CORDOVA PUBLIC LIBRARY,622 FIRST STREET,CORDOVA,99574,1210,VALDEZ-CORDOVA,9074246667,21927,25607,-145.766016,60.54801
AK,AK0017,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,1050,PR WALES-OUTER KE,9078263281,12217,13108,-133.151451,55.47608
AK,AK0019,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,229,SE FAIRBANK,9078954102,13212,42940,-145.713082,64.03256
AK,AK0020,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576,870,DILLINGHAM,9078425610,16913,14664,-158.466804,59.04026
AK,AK0021,EAGLE PUBLIC LIBRARY,2ND & AMUNDSEN,EAGLE,99738,45,SE FAIRBANK,9075472334,8604,3120,-141.201813,64.78648
AK,AK0022,ERNEST NYLIN MEMORIAL LIBRARY,50 ELIM LOOP,ELIM,99739,50,NOME,9078903501,7516,460,-162.073651,64.75812
AK,AK0023,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591020,299882,344723,-147.73849,64.83845
AK,AK0025,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI DRIVE,GALENA,99741,149,YUKON-KOYUKUK,9076562489,10505,3100,-154.720238,65.96966
