StateAbr	LibID	LibName	Address	City	Zip	Zip4	County	Phone	WebAddr	PopLSA	TotStaff	TotInc	BookVol	Visits	TotCirc	GPTerms	PITUsr	Long	Lat	CountyPop	LocaleCode	CongDist
AK	AK0001	ANCHORPOINTPUBLICLIBRARY	72551MILOFRITZAVENUE	ANCHORPOINT	99556	129	KENAIPENINSULA	9072355692	appubliclibrary.com/	1829	0.75	16999	11765	7357	14430	4	2347	-151.853479	59.78047	53409	43	0
AK	AK0002	ANCHORAGEPUBLICLIBRARY	3600DENALISTREET	ANCHORAGE	99503	6055	ANCHORAGE	9073432975	www.anchoragelibrary.org/	284994	86	11412785	664162	840113	1532662	79	300674	-149.876714	61.18792	279243	11	0
AK	AK0003	ANDERSONVILLAGELIBRARY	101FIRSTSTREET	ANDERSON	99744	3078	DENALI	9075822628	-3	295	0.4	16393	16615	2028	2107	7	512	-149.178545	64.34357	1848	43	0
AK	AK0006	KUSKOKWIMCONSORTIUMLIBRARY	420STATEHIGHWAY	BETHEL	99559	368	BETHEL	9075434516	M	5665	3.5	278958	39822	17000	11783	5	8850	-161.760222	60.77014	17236	41	0
AK	AK0007	BIGLAKEPUBLICLIBRARY	3140SOUTHBIGLAKEROAD	BIGLAKE	99652	829	MATANUSKA-SUSITNA	9078926475	www.matsulibraries.org/biglake/	9679	3.75	264072	21222	32712	39831	7	10930	-149.819317	61.55251	85458	42	0
AK	AK0008	CANTWELLCOMMUNITYLIBRARY	1SCHOOLROAD	CANTWELL	99729	68	DENALI	9077682372	-3	192	0.76	18340	12367	1930	3880	4	750	-148.677951	63.44362	1848	43	0
AK	AK0011	CHINIAKPUBLICLIBRARY	43318SPRUCEWAY	CHINIAK	99615	5610	KODIAKISLAND	9074863022	-3	44	0	9350	2828	545	388	1	204	-152.491432	57.74737	13049	33	0
AK	AK0014	COLDBAYPUBLICLIBRARY	10BARANOVSTREET	COLDBAY	99571	87	ALEUTIANSEAST	9075322878	coldbayak.org/library.php/	90	0	8815	7135	1550	1714	3	340	-161.128461	55.7397	2810	43	0
AK	AK0015	COOPERLANDINGCOMMUNITYLIBRARY	MILE.8BEANCREEKROAD	COOPERLANDING	99572	517	KENAIPENINSULA	9075951241	www.arctic.net/~alibrary/	357	0	17756	3683	3484	2937	3	1005	-150.134689	60.49075	53409	43	0
AK	AK0016	CORDOVAPUBLICLIBRARY	622FIRSTSTREET	CORDOVA	99574	1210	VALDEZ-CORDOVA	9074246667	www.cordovalibrary.org/	2161	6.2	357648	21927	25607	15591	5	8384	-145.766016	60.54801	9362	43	0
AK	AK0017	CRAIGPUBLICLIBRARY	504THIRDSTREET	CRAIG	99921	1050	PRWALES-OUTERKE	9078263281	-3	1414	1.75	109613	12217	13108	20203	3	3590	-133.151451	55.47608	5533	43	0
AK	AK0019	DELTACOMMUNITYLIBRARY	2291DEBORAHSTREET	DELTAJUNCTION	99737	229	SEFAIRBANK	9078954102	www.deltalibrarylinks.org/	1058	2.38	158441	13212	42940	32684	7	17707	-145.713082	64.03256	6753	43	0
AK	AK0020	DILLINGHAMPUBLICLIBRARY	306DSTREETWEST	DILLINGHAM	99576	870	DILLINGHAM	9078425610	www.ci.dillingham.ak.us/	2347	1.88	104907	16913	14664	18860	6	5362	-158.466804	59.04026	4933	43	0
AK	AK0021	EAGLEPUBLICLIBRARY	2ND&AMUNDSEN	EAGLE	99738	45	SEFAIRBANK	9075472334	-3	129	0.91	17332	8604	3120	5565	3	984	-141.201813	64.78648	6753	43	0
AK	AK0022	ERNESTNYLINMEMORIALLIBRARY	50ELIMLOOP	ELIM	99739	50	NOME	9078903501	-3	280	0.16	5600	7516	460	151	3	350	-162.073651	64.75812	9261	43	0
AK	AK0023	FAIRBANKSNORTHSTARBOROUGHPUBLICLIBRARY	1215COWLESSTREET	FAIRBANKS	99701	4313	FAIRBANKSNORTHSTAR	9074591020	library.fnsb.lib.ak.us/	154228	51.25	5104527	299882	344723	598685	25	90019	-147.73849	64.83845	97970	13	0
AK	AK0025	CHARLESEVANSCOMMUNITY/SCHOOLLIBRARY	299ANTOSKIDRIVE	GALENA	99741	149	YUKON-KOYUKUK	9076562489	library.galenanet.org/	580	0.38	32344	10505	3100	5030	4	900	-154.720238	65.96966	5701	43	0
AK	AK0027	COPPERVALLEYCOMMUNITYLIBRARY	MILE186GLENNHIGHWAY	GLENNALLEN	99588	173	VALDEZ-CORDOVA	9078225427	M	454	0	35700	16773	12200	15920	4	1900	-146.369847	62.05552	9362	43	0
AK	AK0028	GUSTAVUSPUBLICLIBRARY	14GUSTAVUSROAD	GUSTAVUS	99826	279	SKAGWAY-ANGOON	9076972350	cms.gustavus-ak.gov/services/library	448	0.88	67025	11020	8239	4821	5	2261	-136.855874	58.83307	-1	43	0
AK	AK0029	HAINESBOROUGHPUBLICLIBRARY	111THIRDAVENUESOUTH	HAINES	99827	1089	HAINES	9077662545	www.haineslibrary.org/	2310	7.3	394707	37435	84260	106421	13	32500	-135.446889	59.2363	2271	43	0
AK	AK0030	TRI-VALLEYCOMMUNITYLIBRARY	400SUNTRANASTREET	HEALY	99743	518	DENALI	9076832507	www.dbsd.org/	1025	0.6	25850	24654	6404	18988	9	1545	-148.563331	64.014	1848	43	0
