City,State,Name,Address,Zip,Phone,Email
Akiachak,Alaska,Akiachak School-Community Library,1 Main Street,99551,(907) 825-3600,
Akiak,Alaska,Akiak School-Community Library,1 Kilbuck Road,99552,(907) 765-4631,
Anaktuvuk Pass,Alaska,Nunamiut School-Community Library,114 Illinois Avenue,,(907) 661-3226,
Anchor Point,Alaska,Anchor Point Public Library,72551 Milo Fritz Avenue,99556,(907) 235-5692,
Anchorage,Alaska,Anchorage Public Library,3600 Denali Street,99503,(907) 343-2975,
Anchorage,Alaska,Mountain View Branch Library,150 South Bragaw Street,99504,(907) 272-8467,
Anchorage,Alaska,Muldoon Branch Library,5530 East Northern Lights Boulevard,99504,(907) 338-4590,
Anchorage,Alaska,Samson-Dimond Branch Library,"800 East Dimond Boulevard, Suite 23",99515,(907) 343-4051,
Anchorage,Alaska,Z. J. Loussac Library,3600 Denali Street,99503,(907) 343-2983,
Anderson,Alaska,Anderson Village Library,101 First Street,99744,(907) 582-2628,
Aniak,Alaska,Aniak Public Library,270 Riverfront Drive,99557,(907) 675-4435,
Anvik,Alaska,Anvik Community-School Library,1 Airport Road,99558,(907) 663-6348,
Anvik,Alaska,Blackwell Community-School Library,1 Airport Road,99558,(907) 663-6348,
Atqasuk,Alaska,Meade River School-Community Library,4001 Kippi Street,99791,(907) 633-6315,
Barrow,Alaska,Tuzzy Consortium Library,5421 North Star Street,99723,(907) 852-4050,
Bethel,Alaska,Kuskokwim Consortium Library,420 State Highway,99559,(907) 543-4516,
Big Lake,Alaska,Big Lake Public Library,3140 South Big Lake Road,99652,(907) 892-6475,Email
Cantwell,Alaska,Cantwell Community Library,1 School Road,99729,(907) 768-2372,
Chiniak,Alaska,Chiniak Public Library,43318 Spruce Way,99615,(907) 486-3022,
Coffman Cove,Alaska,Coffman Cove Community Library,106 Denali Alley,99918,(907) 329-2233,
Cold Bay,Alaska,Cold Bay Public Library,10 Baranov Street,99571,(907) 532-2878,
Cooper Landing,Alaska,Cooper Landing Community Library,p.o. box 517,99572,(907) 595-1241,
Cordova,Alaska,Cordova Public Library,622 First Street,99574,(907) 424-6667,
Craig,Alaska,Craig Public Library,504 Third Street,99921,(907) 826-3281,
Deering,Alaska,Ipnatchiaq Library,59 Main Street,99736,(907) 363-2136,
Delta Junction,Alaska,Delta Community Library,2291 Deborah Street,99737,(907) 895-4102,
Dillingham,Alaska,Dillingham Public Library,306 D Street West,99576,(907) 842-5610,
Douglas,Alaska,Juneau Public Libraries - Douglas Branch,1016 3rd Street,99824,(907) 364-2378,
Eagle,Alaska,Eagle Public Library,2nd Amundsen,99738,(907) 547-2334,
Eagle River,Alaska,Chugiak-Eagle River Branch Library,12400 Old Glenn Highway,99577,(907) 694-5284,
Egegik,Alaska,Egegik Village Library,289 Airport Way,99579,(907) 233-2211,
Elim,Alaska,Ernest Nylin Memorial Library,50 Elim Loop,99739,(907) 890-3501,
Fairbanks,Alaska,Fairbanks North Star Borough Public Library,1215 Cowles Street,99701,(907) 459-1020,
False Pass,Alaska,False Pass Public Library,182 Unimak Drive,99583,(907) 548-2233,
Galena,Alaska,Charles Evans Community-School Library,299 Antoski Drive,99741,(907) 656-2489,
Girdwood,Alaska,Gerrish (Girdwood) Branch Library,250 Egloff Drive,99587,(907) 343-4024,
Girdwood,Alaska,Scott And Wesley Gerrish Branch Library,169 Hightower Street,,(907) 783-2106,
Glennallen,Alaska,Copper Valley Community Library,p.o. box 173,99588,(907) 822-5427,
Grayling,Alaska,Grayling Community-School Library,p.o. box 90,99590,(907) 453-5135,
Gustavus,Alaska,Gustavus Public Library,14 Gustavus Road,99826,(907) 697-2350,
Haines,Alaska,Haines Borough Public Library,111 Third Avenue South,99827,(907) 766-2545,
Healy,Alaska,Tri-Valley Community Library,400 Suntrana Street,99743,(907) 683-2507,
Hollis,Alaska,Hollis Public Library,p.o. box 5,99950,(907) 530-7112,
Holy Cross,Alaska,Holy Cross Community-School Library,210 Trailway Street,99602,(907) 476-7131,
Homer,Alaska,Homer Public Library,500 Hazel Avenue,99603,(907) 235-3180,
Hoonah,Alaska,Esther Greenwald Library,366 Garteeni Highway,99829,(907) 945-3611,
Hope,Alaska,Hope Public Library,18487 A Avenue,99605,(907) 782-3121,
Hyder,Alaska,Hyder Public Library,50 Main Street,99923,(250) 636-9148,
Igiugig,Alaska,Igiugig Tribal Library,1 Airport Road,99613,(907) 533-3211,
Juneau,Alaska,Juneau Public Libraries - Downtown Branch Library,292 Marine Way,99801,(907) 586-5249,
Juneau,Alaska,Juneau Public Libraries - Valley Branch Library,"9105 Mendenhall Mall Road, 134",99801,(907) 789-0125,
Kaktovik,Alaska,Harold Kaveolook School-Community Library,2001 Barter Avenue,99747,(907) 640-6626,
Kasilof,Alaska,Kasilof Public Library,58200 Sterling Highway,99610,(907) 252-4097,
Kenai,Alaska,Kenai Community Library,163 Main Street Loop,99611,(907) 283-4378,
