StateAbr,LibID,title,Address,City,Zip,Zip4,County,Phone,WebAddr,RelCode,LegBasis,PopLSA,CentralLib,BranchLib,BookMob,Master,Librarians,OtherPaid,TotStaff,LocGvt,StGvt,FedGvt,OtherInc,TotInc,PrintExp,ElecExp,OthMaterial,TotCollExp,TotalExp,BookVol,Ebook,Audio,Video,HrsOpen,Visits,RefTran,RegBor,TotCirc,KidCirc,TotProg,KidProg,TotAtten,KidAtten,GPTerms,PITUsr,Long,Lat,CountyPop,LocaleCode,CongDist
WI,WI0001,ABBOTSFORD PUBLIC LIBRARY,203 FIRST ST.,ABBOTSFORD,54405,506,CLARK,7152233920,wvls.lib.wi.us/AbbotsfordPL,CI,CI2,2551,1,0,0,0,0.7,0.75,1.45,97150,0,0,8559,105709,8985,0,6227,15212,88543,15570,8805,4186,1119,2652,18000,1000,1511,25820,8022,80,40,1400,700,8,9206,-90.317727,44.94663,33553,32,7
WI,WI0002,ADAMS COUNTY PUBLIC LIBRARY,"569 N. CEDAR ST., SUITE 1",ADAMS,53910,9800,ADAMS,6083394250,www.scls.lib.wi.us/acl,CO,CO2,18620,1,0,0,1,1,4.1,5.1,298364,848,1200,44978,345390,25652,1061,7711,34424,327787,30575,8370,5402,3104,2440,70000,16280,8981,96655,20642,166,150,3685,3135,13,29000,-89.821605,43.96629,20325,43,6
WI,WI0003,ALBERTSON MEMORIAL LIBRARY,200 N. WATER ST.,ALBANY,53502,329,GREEN,6088623491,www.albanylibrary.org,MJ,CI2,2935,1,0,0,0,0.58,1.3,1.88,68442,450,0,8935,77827,8423,68,3009,11500,77827,16723,0,1081,2969,1716,20762,1800,2456,42557,11208,87,75,1204,1064,6,4034,-89.436874,42.70608,36090,42,2
WI,WI0004,ALGOMA PUBLIC LIBRARY,406 FREMONT ST.,ALGOMA,54201,1399,KEWAUNEE,9204872295,www.nfls.lib.wi.us/alg,CI,CI2,13756,1,0,0,0,3.63,0.6,4.23,242798,4032,609,28596,276035,24582,0,6465,31047,274210,29277,13261,4690,5245,2600,52451,8004,4194,103066,27574,324,263,5887,5367,6,12927,-87.438701,44.60672,20388,32,8
WI,WI0005,ALMA PUBLIC LIBRARY,312 N. MAIN ST.,ALMA,54610,277,BUFFALO,6086853823,-3,CI,CI2,7097,1,0,0,0,1.18,0,1.18,63824,2300,0,2981,69105,9597,0,1902,11499,50391,11506,8396,3794,875,1326,8626,3025,1994,21588,7354,122,100,1120,783,3,1390,-91.915081,44.32096,13741,43,3
WI,WI0006,ALTOONA PUBLIC LIBRARY,1303 LYNN AVE.,ALTOONA,54720,1942,EAU CLAIRE,7158395029,www.altoonapubliclibrary.org,CI,CI2,9609,1,0,0,1.73,2.73,2.25,4.98,382138,470,647,12317,395572,53711,199,15485,69395,378663,39495,4723,7065,5310,3172,68904,3027,5107,120802,45512,155,129,3513,3247,6,8859,-91.432724,44.80644,98286,23,3
WI,WI0007,AMERY PUBLIC LIBRARY,225 SCHOLL CT.,AMERY,54001,1421,POLK,7152689340,-3,CI,CI2,12021,1,0,0,0,3,2.15,5.15,341952,0,3200,31446,376598,59500,0,22549,82049,360535,84000,4723,6005,5739,2288,53200,6010,8475,130242,43414,108,61,4627,3875,6,8019,-92.365044,45.30294,44270,32,7
WI,WI0008,LETTIE W. JENSEN PUBLIC LIBRARY,278 N. MAIN ST.,AMHERST,54406,9101,PORTAGE,7158245510,www.scls.lib.wi.us/amh,CI,CI1,1052,1,0,0,0,0.35,0.38,0.73,25398,450,1200,5838,32886,2414,68,890,3372,32095,21001,0,752,1383,1184,20657,787,2988,18411,10569,60,53,224,168,5,2600,-89.284528,44.45479,68744,42,7
WI,WI0009,ANTIGO PUBLIC LIBRARY,617 CLERMONT ST.,ANTIGO,54409,1943,LANGLADE,7156233724,M,CC,CO1,21680,1,3,0,1,1,9.15,10.15,611640,0,0,34918,646558,60009,2860,26935,89804,590241,64833,8805,6781,4845,5464,124506,16263,13572,178719,57190,250,212,6950,6055,29,31134,-89.154283,45.14086,20165,43,7
WI,WI0010,APPLETON PUBLIC LIBRARY,225 N. ONEIDA ST.,APPLETON,54911,4780,OUTAGAMIE,9208326170,www.apl.org,CI,CI2,113699,1,0,0,13,15,40.11,55.11,4224463,27318,0,114211,4365992,358441,20033,173040,551514,4381485,320744,13261,29288,27097,3420,554125,112603,84005,1485494,556351,1249,997,32624,28139,54,166827,-88.405975,44.26326,174993,13,8
WI,WI0011,ARCADIA FREE PUBLIC LIBRARY,406 E. MAIN ST.,ARCADIA,54612,1322,TREMPEALEAU,6083237505,-3,CI,CI2,5185,1,0,0,0,2,0.13,2.13,147440,3500,0,0,150940,17360,95,2888,20343,138042,17277,8396,4282,1120,2194,16500,537,1280,50299,21181,43,43,1405,1405,4,6039,-91.488847,44.25019,27790,42,3
